ProductName,DiskType,Capacity,Rotation Speed,Interface,FormFactor
Samsung Spinpoint F1 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Toshiba MD04ACA 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 1.5TB (SATA2; 32MB),Hard disk,1500 GB,5400 rpm,Serial ATA 300,3.5 inch
Seagate Momentus STBD750200 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital Red 1TB,Hard disk,1000 GB,5400 rpm,Serial ATA 600,3.5 inch
Seagate Constellation ES.3 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Surveillance HDD 5TB (rescue),Hard disk,5000 GB,5900 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint F1R 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar SE 500GB (IDE; retail),Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Momentus XT 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,2.5 inch
Toshiba MD04ABA500V 5TB,Hard disk,5000 GB,,Serial ATA 600,3.5 inch
Western Digital Re 2TB (SATA2),Hard disk,2000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Black 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 600,2.5 inch
Toshiba DT01ABA200 2TB,Hard disk,2000 GB,5700 rpm,Serial ATA 600,3.5 inch
Seagate Archive HDD 6TB,Hard disk,6000 GB,5900 rpm,Serial ATA 600,3.5 inch
Toshiba MK3263GSX 320GB SATA2,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Travelstar 5K250 200GB SATA2,Hard disk,200 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Pipeline 320GB,Hard disk,320 GB,5900 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda Green 1TB,Hard disk,1000 GB,5900 rpm,Serial ATA 300,3.5 inch
Seagate Momentus Thin 320GB,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Barracuda 7200.14 1.5TB,Hard disk,1500 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 1TB (SATA2; 64MB),Hard disk,1000 GB,5400 rpm,Serial ATA 300,3.5 inch
Western Digital AV-GP 4TB (SATA3; 64MB),Hard disk,4000 GB,5400 rpm,Serial ATA 600,3.5 inch
Fujitsu MHV2160BT 160GB SATA2,Hard disk,160 GB,4200 rpm,Serial ATA 300,2.5 inch
Samsung Spinpoint M2 160GB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital Caviar SE 500GB (SATA2; retail),Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital AV-GP 1TB (SATA3; 64MB),Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital RE2 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
HGST Ultrastar 7K4000 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MK2576GSX 250GB,Hard disk,250 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital AV-GP 1.5TB (SATA2; 64MB),Hard disk,1500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda LP 2TB,Hard disk,2000 GB,5900 rpm,Serial ATA 300,3.5 inch
Seagate Constellation ES 2TB (SAS2),Hard disk,2000 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Deskstar 7K1000.B 320GB SATA2,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Samsung Spinpoint F3 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
"Intenso 3.5"" Internal HDD 2TB",Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 2.5TB (SATA3; 64MB),Hard disk,2500 GB,5400 rpm,Serial ATA 300,3.5 inch
Western Digital Se 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital RE2 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda ES.2 750GB SATA2,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda 7200.11 640GB,Hard disk,640 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Deskstar 7K1000 640GB SATA2,Hard disk,640 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Laptop Thin HDD 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 600,2.5 inch
Western Digital AV-25 160GB (SATA2; 8MB),Hard disk,160 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Caviar Black 1TB (SATA2; 32MB),Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Samsung Spinpoint T133 400GB,Hard disk,400 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Green 320GB (SATA3; 64MB),Hard disk,320 GB,,Serial ATA 600,3.5 inch
"Western Digital VelociRaptor VR200M 450GB (2.5"")",Hard disk,450 GB,10000 rpm,Serial ATA 600,2.5 inch
Western Digital Purple 2TB (retail),Hard disk,2000 GB,5400 rpm,Serial ATA 600,3.5 inch
Seagate Constellation ES 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Black V2 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar RE4-GP 3TB,Hard disk,3000 GB,,Serial ATA 600,3.5 inch
Western Digital Green 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 600,3.5 inch
Fujitsu MHW2060BK 60GB SATA2,Hard disk,60 GB,7200 rpm,Serial ATA 300,2.5 inch
Samsung Spinpoint F4 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar 80GB SATA2,Hard disk,80 GB,7200 rpm,Serial ATA 300,3.5 inch
"Western Digital VelociRaptor 150GB (2.5"")",Hard disk,150 GB,10000 rpm,Serial ATA 300,2.5 inch
Toshiba MK2049GSY 200GB SATA2,Hard disk,200 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital AV-GP 750GB (SATA2; 16MB),Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Laptop Mainstream 1TB,Hard disk,1000 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital VelociRaptor 250GB,Hard disk,250 GB,10000 rpm,Serial ATA 600,3.5 inch
Seagate Barracuda 7200.12 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Toshiba MQ Series 750GB,Hard disk,750 GB,5400 rpm,Serial ATA 300,2.5 inch
Toshiba MK7575GSX 750GG,Hard disk,750 GB,5400 rpm,Serial ATA 300,2.5 inch
Samsung Spinpoint T133 300GB,Hard disk,300 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Deskstar T7K250 250GB,Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Maxtor DiamondMax 23 750GB SATA2,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Travelstar E7K320 250GB SATA2,Hard disk,250 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate BarraCuda New 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Black 1.5TB (SATA3; 64MB),Hard disk,1500 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Archive HDD 8TB,Hard disk,8000 GB,5900 rpm,Serial ATA 600,3.5 inch
Seagate Momentus 7200.2 200GB SATA2 G-Force,Hard disk,200 GB,7200 rpm,Serial ATA 300,2.5 inch
Hitachi Deskstar 7K3000 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Hitachi Travelstar 5K320 160GB SATA2,Hard disk,160 GB,5400 rpm,Serial ATA 300,2.5 inch
Toshiba MD Series 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate SkyHawk 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Hitachi Deskstar 7K1000.C 250GB SATA2,Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Momentus 5400.6 320GB SATA,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Momentus 5400.7 640GB,Hard disk,640 GB,5400 rpm,Serial ATA 300,3.5 inch
Toshiba DT01ACA100 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Fujitsu MHW2120BK 120GB SATA2,Hard disk,120 GB,7200 rpm,Serial ATA 300,2.5 inch
Samsung Spinpoint F3 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Desktop Performance 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Momentus 7200.2 80GB SATA2,Hard disk,80 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate Pipeline 160GB (2MB),Hard disk,160 GB,5900 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Green 320GB (SATA3; 32MB),Hard disk,320 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Constellation ES 500GB (SATA3),Hard disk,500 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Red 1TB (retail),Hard disk,1000 GB,5400 rpm,Serial ATA 600,3.5 inch
Western Digital Green 1TB,Hard disk,1000 GB,5400 rpm,Serial ATA 600,3.5 inch
Hitachi Touro Mobile Pro 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital AV-25 1TB (SATA3; 16MB),Hard disk,1000 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Scorpio Blue 1TB (7mm),Hard disk,1000 GB,5400 rpm,Serial ATA 600,2.5 inch
Western Digital Black 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Hitachi Travelstar 5K320 320GB SATA2,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Samsung Spinpoint F4 EcoGreen 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 300,3.5 inch
"Western Digital VelociRaptor VR200M 450GB (3.5"")",Hard disk,450 GB,10000 rpm,Serial ATA 600,3.5 inch
Seagate Surveillance HDD 8TB,Hard disk,8000 GB,7200 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint T166 250GB 16MB SATA2,Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda XT 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
"Western Digital VelociRaptor 150GB (3.5"" backplane)",Hard disk,150 GB,10000 rpm,Serial ATA 300,3.5 inch
Hitachi Travelstar Z7K320 320GB (7200rpm),Hard disk,320 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital Re+ Yellow 5TB,Hard disk,5000 GB,5700 rpm,Serial ATA 600,3.5 inch
Western Digital Re Enterprise Capacity 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Scorpio Blue 640GB (WD6400BPVT),Hard disk,640 GB,5400 rpm,Serial ATA 300,2.5 inch
Maxtor DiamondMax 21 80GB SATA,Hard disk,80 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate IronWolf 3TB,Hard disk,3000 GB,5900 rpm,Serial ATA 600,3.5 inch
Hitachi Deskstar 7K1000.C 160GB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Black V2 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MQ01ADB075 750GB,Hard disk,750 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital HDD AV-GRN 320GB 3.5 SATA 3Gbs 16MB,Hard disk,320 GB,5400 rpm,Serial ATA 300,3.5 inch
Toshiba MK1002TSKB 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Scorpio Blue 640GB,Hard disk,640 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Pipeline 2TB (SATA2),Hard disk,2000 GB,5900 rpm,Serial ATA 300,3.5 inch
Seagate BarraCuda Pro 8TB,Hard disk,8000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital AV-25 320GB (SATA2; 16MB),Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Barracuda 7200.12 1TB (SATA3),Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Enterprise Capacity 3.5 HDD 5TB,Hard disk,5000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Constellation ES.3 ST2000NM0053 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Black 2TB (SATA3; 64MB),Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar RE2 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi MegaScale 4000 4TB,Hard disk,4000 GB,5700 rpm,Serial ATA 600,3.5 inch
Seagate Terascale 4TB,Hard disk,4000 GB,5900 rpm,Serial ATA 600,3.5 inch
Seagate Constellation CS 1TB (Instant Secure Erase),Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate NAS HDD 4TB (retail),Hard disk,4000 GB,5900 rpm,Serial ATA 600,3.5 inch
Western Digital Red 5TB (retail),Hard disk,5000 GB,7200 rpm,Serial ATA 600,3.5 inch
"Western Digital VelociRaptor 500GB (2.5"")",Hard disk,500 GB,10000 rpm,Serial ATA 600,2.5 inch
Hitachi Deskstar P7K500 500GB SATA2,Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital AV-GP 500GB (SATA3; 32MB),Hard disk,500 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Red 5TB,Hard disk,5000 GB,5400 rpm,Serial ATA 600,3.5 inch
Western Digital VelociRaptor 300GB,Hard disk,300 GB,10000 rpm,Serial ATA 300,3.5 inch
Hitachi Deskstar 7K1000.C 1TB SATA2,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Momentus 7200.2 80GB SATA2 G-Force,Hard disk,80 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate Surveillance HDD 2TB (rescue),Hard disk,2000 GB,5900 rpm,Serial ATA 600,3.5 inch
Hitachi Deskstar 7K1000 1TB SATA2,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Green 2TB (SATA2; retail),Hard disk,2000 GB,7200 rpm,Serial ATA 300,3.5 inch
Toshiba E300 2TB,Hard disk,2000 GB,5700 rpm,Serial ATA 600,3.5 inch
Toshiba MK7559GSXP 750GB,Hard disk,750 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Caviar Green 1TB (SATA2; 32MB),Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Samsung Spinpoint M2 200GB SATA2,Hard disk,200 GB,7200 rpm,Serial ATA 300,2.5 inch
Hitachi Deskstar 7K2000 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Mainstream Green 6TB,Hard disk,6000 GB,5400 rpm,Serial ATA 600,3.5 inch
Seagate Momentus Spinpoint M8 320GB,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate SV35.5 1TB (SATA3),Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 500GB (SATA2; 32MB),Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Green 750GB (SATA3; 64MB),Hard disk,750 GB,5400 rpm,Serial ATA 600,3.5 inch
Maxtor DiamondMax 21 80GB SATA2,Hard disk,80 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Laptop Mainstream 320GB,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate SV35.5 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Desktop Mainstream 5TB,Hard disk,5000 GB,7200 rpm,Serial ATA 600,3.5 inch
HGST Ultrastar A7K2000 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 300,3.5 inch
Toshiba MQ01ABD050 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
HGST Travelstar 5K1000 1TB,Hard disk,1000 GB,5400 rpm,Serial ATA 600,2.5 inch
Western Digital Scorpio Blue 500GB (retail),Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Archive HDD 5TB (encryption),Hard disk,5000 GB,5900 rpm,Serial ATA 600,3.5 inch
HGST Ultrastar He10 10TB,Hard disk,10000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital AV-GP 250GB (SATA2; 8MB),Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Enterprise Capacity 6TB (SAS; 4Kn; SED),Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint M2 250GB SATA2,Hard disk,250 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital Purple 5TB,Hard disk,5000 GB,5400 rpm,Serial ATA 600,3.5 inch
Western Digital Scorpio Blue 400GB,Hard disk,400 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Gold 10TB,Hard disk,10000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Black 640GB (SATA2; 32MB),Hard disk,640 GB,7200 rpm,Serial ATA 300,3.5 inch
Samsung Spinpoint F3 EcoGreen 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 300,3.5 inch
Hitachi Deskstar P7K500 320GB SATA2,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda XT 2TB,Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Momentus SpinPoint M8 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Travelstar Z7K320 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital Se 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint MT2 750GB,Hard disk,750 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Red Pro 8TB,Hard disk,8000 GB,7200 rpm,Serial ATA 600,3.5 inch
Hitachi Travelstar 5K320 250GB SATA2,Hard disk,250 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital AV-GP 2TB (SATA2; 64MB),Hard disk,2000 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Pipeline 1TB (32MB),Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Toshiba H200 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 600,2.5 inch
Toshiba MG04ACA400A 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MK5075GSX 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Travelstar 7K1000 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,2.5 inch
Seagate Momentus 7200.2 160GB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,2.5 inch
Samsung HN-M750MBB 750GB,Hard disk,750 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Barracuda 7200.10 320GB SATA2,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Toshiba MQ03ABB200 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 600,2.5 inch
Samsung Spinpoint P133 320GB SATA2,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Travelstar Z5K500 250GB,Hard disk,250 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital AV 160GB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Deskstar P7K500 250GB SATA2,Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Momentus 7200.3 80GB SATA2,Hard disk,80 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital AV-GP 160GB (SATA2; 8MB),Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital RE3 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Red 3TB,Hard disk,3000 GB,5400 rpm,Serial ATA 600,3.5 inch
Western Digital AV-GP 250GB (SATA3; 32MB),Hard disk,250 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MQ01ABD150 1.5TB,Hard disk,1500 GB,5400 rpm,Serial ATA 300,2.5 inch
HGST Ultrastar He8 6TB (4Kn),Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate NAS HDD 2TB,Hard disk,2000 GB,5900 rpm,Serial ATA 600,3.5 inch
Toshiba MC04ACA500E 5TB,Hard disk,5000 GB,7200 rpm,Serial ATA 600,3.5 inch
"Western Digital VelociRaptor 74GB (3.5"" backplane)",Hard disk,74 GB,10000 rpm,Serial ATA 300,3.5 inch
Seagate SkyHawk 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MQ03ABB300 3TB,Hard disk,3000 GB,5400 rpm,Serial ATA 600,2.5 inch
Seagate Momentus 5400.FDE.4 500GB SATA2,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Toshiba MK1661GSYN 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate Barracuda 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Constellation ES.3 4TB (SATA3),Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital VelociRaptor 300GB (retail),Hard disk,300 GB,10000 rpm,Serial ATA 300,3.5 inch
Western Digital Scorpio Black 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 600,2.5 inch
Western Digital Scorpio Blue 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Deskstar T7K500 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Travelstar Z7K320 320GB (5400rpm),Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Momentus Spinpoint M8 1TB,Hard disk,1000 GB,5400 rpm,Serial ATA 300,2.5 inch
Toshiba DT01ACA050 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Desk Blue 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 600,3.5 inch
Seagate Constellation 2.5 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 600,2.5 inch
Western Digital Se 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
"Intenso 3.5"" Internal HDD 4TB",Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Constellation.2 250GB (SATA3),Hard disk,250 GB,7200 rpm,Serial ATA 600,2.5 inch
Seagate Pipeline 2TB (SATA3),Hard disk,2000 GB,5900 rpm,Serial ATA 600,3.5 inch
HGST Deskstar 7K4000 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Hitachi Travelstar 5K750 750GB,Hard disk,750 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Deskstar 7K1000.B 160GB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Constellation ES.3 ST1000NM0033 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MQ02ABD100H 1TB,Hard disk,1000 GB,5400 rpm,Serial ATA 600,2.5 inch
Western Digital VelociRaptor 500GB,Hard disk,500 GB,10000 rpm,Serial ATA 600,3.5 inch
Seagate Enterprise Capacity 2TB (SATA3),Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital AV-25 160GB (SATA2; 16MB),Hard disk,160 GB,5400 rpm,Serial ATA 300,2.5 inch
Samsung Spinpoint P80 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar SE16 500GB (SATA2; retail),Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda 7200.12 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Mobile HDD 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 600,2.5 inch
Western Digital Purple 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 600,3.5 inch
